8790	MP3	Take On Me	a ha
3555	WAV	Mysterious Ways	Angélique Kidjo
8010	MP3	Rolling in the Deep	ADELE
4807	AIF	Lovesong	ADELE
BABA
AIF	loulou	bibi
567	AIF	lovely
18879	WAV	Mamma Mia	ABBA

17826	OGG	S.O.S.	ABBA
12098	OGG	Waterloo	ABBA
9047	MP3	I Do, I Do, I Do, I Do, I Do	ABBA
11321	MP3	Dancing Queen	ABBA
7058	WAV	Fernando	ABBA
575	OGG	Gimme! Gimme! Gimme! (A Man After Midnight)	ABBA
10357	WAV	Does Your Mother Know	ABBA
3384	MP3	The Name Of The Game	ABBA
17047	WAV	Knowing Me, Knowing You	ABBA
11561	MP3	The Winner Takes It All	ABBA
5736	MP3	Poison Arrow	ABC
4761	AIF	The Look of Love, Pt. 1	ABC
17609	WAV	Be Near Me	ABC
18183	MP3	Always Always	Abstracts
3540	AIF	You Shook Me All Night Long	AC/DC
1154	AIF	T.N.T.	AC/DC
18586	AIF	Highway To Hell	AC/DC
12125	OGG	Hells Bells	AC/DC
6430	OGG	Back In Black	AC/DC
9779	MP3	Rock and Roll Ain't Noise Pollution	AC/DC
6366	MP3	Dirty Deeds Done Dirt Cheap	AC/DC
17358	OGG	Whole Lotta Rosie	AC/DC
16863	WAV	Let There Be Rock	AC/DC
293	AIF	Princess Of The Dawn	Accept
1427	WAV	How Long	Ace
10675	MP3	Antmusic	Adam and The Ants
7848	WAV	Dog Eat Dog	Adam and the Ants
16870	MP3	Prince Charming	Adam and the Ants
17052	WAV	Stand and Deliver	Adam and the Ants
16916	WAV	Straight From The Heart	Bryan Adams
12331	WAV	Summer Of '69	Bryan Adams
12654	MP3	Two	Ryan Adams
5323	MP3	Magick	Ryan Adams & The Cardinals
3545	WAV	Slow Dancin' Don't Turn Me On	The Addrisi Brothers
10090	MP3	New Kind of Cool	Adrianne
9888	WAV	Broken Land	The Adventures
5143	WAV	Gary Gilmore’s Eyes	The Adverts
12891	MP3	Dream On	Aerosmith
2115	AIF	Janie's Got a Gun	Aerosmith
2642	WAV	Walk This Way	Aerosmith
16171	MP3	Pink	Aerosmith
11856	MP3	Dude (Looks Like a Lady)	Aerosmith
5551	MP3	Sweet Emotion	Aerosmith
998	WAV	The Other Side	Aerosmith
19964	WAV	Rag Doll	Aerosmith
3691	MP3	What It Takes	Aerosmith
4417	WAV	Remember (Walking in the Sand)	Aerosmith
14051	OGG	Last Child	Aerosmith
15264	WAV	Same Old Song and Dance	Aerosmith
8305	MP3	Crazy	Aerosmith
16899	WAV	Back in the Saddle	Aerosmith
2136	WAV	Seasons of Wither	Aerosmith
6788	MP3	Livin' on the Edge	Aerosmith
12689	MP3	Cryin'	Aerosmith
9692	OGG	If I Were Going	The Afghan Whigs
4490	WAV	Gentlemen	The Afghan Whigs
15034	OGG	Debonair	The Afghan Whigs
9164	MP3	Faded	The Afghan Whigs
5172	AIF	Der Kommissar	After the Fire
11170	MP3	Sink, Florida, Sink	Against Me!
17906	MP3	Grace Like Rain	Todd Agnew
2378	MP3	Gotta Go	Agnostic Front
15234	MP3	Beautiful	Christina Aguilera
19733	WAV	Dream	Priscilla Ahn
4731	MP3	Are We Different	Priscilla Ahn
12806	MP3	Wallflower	Priscilla Ahn
12543	WAV	Leave the Light On	Priscilla Ahn
18875	WAV	Kelly Watch the Stars	Air
11589	AIF	La Femme d'Argent	Air
1854	MP3	Playground Love (Sung By Gordon Tracks)	Air
13910	WAV	Cherry Blossom Girl (Radio Edit)	Air
19564	AIF	Sexy Boy	Air
4031	MP3	All I Need	Air
11684	OGG	Sometime Around Midnight	The Airborne Toxic Event
6998	WAV	Timeless	The Airborne Toxic Event
10550	AIF	All I Ever Wanted	The Airborne Toxic Event
8433	MP3	Bride & Groom	The Airborne Toxic Event
2522	WAV	The Fifth Day	The Airborne Toxic Event
10949	MP3	Hell And Back	The Airborne Toxic Event
264	AIF	Marching On	The Alarm (IRS)
8887	WAV	The Stand	The Alarm (IRS)
19607	WAV	Sick of Myself	Cindy Alexander
10646	WAV	I'm OK	Cindy Alexander
13226	AIF	I See Stars	Cindy Alexander
19206	WAV	Heaven Beside You	Alice in Chains
8930	OGG	Over Now	Alice In Chains
4191	WAV	Man In The Box	Alice In Chains
212	WAV	Down In A Hole	Alice In Chains
10687	WAV	Would	Alice in Chains
4751	MP3	Gives You Hell	The All American Rejects
2706	OGG	Every Girl	Allah Las
19170	MP3	Had It All	Allah Las
10463	WAV	Busman's Holiday	Allah Las
13393	OGG	Catamaran	Allah Las
16	WAV	Catalina	Allah Las
13227	WAV	The Fear	Lily Allen
18412	AIF	Smile (Radio Edit)	Lily Allen
9001	MP3	Whipping Post	The Allman Brothers Band
4753	WAV	In Memory Of Elizabeth Reed	The Allman Brothers Band
5896	AIF	Melissa	The Allman Brothers Band
16199	AIF	Ain't Wastin' Time No More	The Allman Brothers Band
14498	MP3	Blue Sky	The Allman Brothers Band
8904	AIF	Midnight Rider	The Allman Brothers Band
17433	WAV	Little Martha	The Allman Brothers Band
11632	WAV	Statesboro Blues	The Allman Brothers Band
15649	MP3	Dreams	The Allman Brothers Band
16204	WAV	Jessica	The Allman Brothers Band
445	WAV	Ramblin' Man	The Allman Brothers Band
12772	WAV	Crazy Love	The Allman Brothers Band
1390	WAV	One Way Out	The Allman Brothers Band
11387	WAV	Wasted Words	The Allman Brothers Band
6147	OGG	Southbound	The Allman Brothers Band
11499	MP3	Revival	The Allman Brothers Band
10721	AIF	Tijuana Taxi	Herb Alpert  & The Tijuana Brass
7467	AIF	I Could Be Happy (Single Version)	Altered Images
877	MP3	See Those Eyes (Single Version)	Altered Images
13543	MP3	Happy Birthday	Altered Images
5981	WAV	One More Night	Amber
10720	AIF	Journey To The Center Of The Mind	The Amboy Dukes
11218	MP3	Lonely People	America
7557	WAV	A Horse With No Name	America
15714	OGG	Tin Man	America
5481	MP3	Sister Golden Hair	America
4549	AIF	Don't Cross The River	America
4350	WAV	I Need You	America
8393	WAV	Sandman	America
15911	MP3	Daisy Jane	America
17835	MP3	Ventura Highway	America
9472	WAV	Hit It	American Authors
4834	WAV	Bend Me Shape Me	American Breed
5971	AIF	Gravitational Pull	Bob Amos
2922	AIF	Tear in Your Hand	Tori Amos
5050	MP3	Cornflake Girl	Tori Amos
9561	MP3	Raspberry Swirl	Tori Amos
19325	WAV	Marianne	Tori Amos
3045	MP3	Winter	Tori Amos
474	MP3	Precious Things	Tori Amos
10484	AIF	A Sorta Fairytale	Tori Amos
16977	MP3	Spark	Tori Amos
14053	WAV	Horses	Tori Amos
15290	WAV	Silent All These Years	Tori Amos
6149	MP3	Angels	Tori Amos
6970	MP3	Pretty Good Year (Live from Sound Check)	Tori Amos
13593	OGG	Caught A Lite Sneeze	Tori Amos
8230	MP3	God	Tori Amos
17245	WAV	Bruised Reed	Anathallo
5030	WAV	Floating World	Anathallo
11700	MP3	Deep	Anathema
15089	AIF	Fragile Dreams	Anathema
555	OGG	Time To Die	Ancient Grease
19705	WAV	Relative Ways	...And You Will Know Us By the Trail of Dead
13027	MP3	Crash About To Happen	Brett Anderson
7386	OGG	Clowns	Brett Anderson
8940	MP3	Brother Of Mine	I) The Big Dream, II) Nothing Can Come Between Us, III) Long Lost Brother Of Mine	Anderson Bruford Wakeman Howe
4391	AIF	O Superman (For Massenet)	Laurie Anderson
11176	AIF	Do	Re Mi	Julie Andrews
5390	MP3	Stay Awake	Julie Andrews
10862	MP3	Boogie Woogie Bugle Boy	Andrews Sisters With Vic Schoen & His Orchestra
8775	WAV	Fireworks	Animal Collective
17197	OGG	My Girls	Animal Collective
2908	WAV	The Purple Bottle	Animal Collective
16632	WAV	Grass	Animal Collective
15808	WAV	Strange Attractor	Animal Kingdom
12246	WAV	House Of The Rising Sun	The Animals
2808	MP3	Don't Let Me Be Misunderstood	The Animals
785	AIF	It's My Life	The Animals
17089	MP3	We Gotta Get Out Of This Place	The Animals
2144	WAV	Bring It On Home To Me	The Animals
3221	WAV	Bury My Body	The Animals
13932	MP3	Sky Pilot	Eric Burden and the Animals
19300	OGG	Monterrey	Eric Burden and the Animals
3427	WAV	Gonna Send You Back To Walker	The Animals
15054	WAV	Baby, Let's Take You Home	The Animals
13794	WAV	I'm Crying	The Animals
12622	MP3	I'm In Love Again	The Animals
7451	WAV	When I Was Young	The Animals
82	MP3	Talkin' Bout You	The Animals
14157	WAV	Dimples	The Animals
18342	MP3	Around And Around	The Animals
9673	OGG	Boom Boom	The Animals
229	WAV	San Fransiscan Nights	Eric Burden and the Animals
9600	MP3	Help Me Girl	Eric Burden and the Animals
3730	WAV	Obsession	Animotion
6799	AIF	My Heartbeat	Annie
12040	MP3	Desperate But Not Serious	Adam Ant
8265	WAV	Goody Two Shoes	Adam Ant
11280	AIF	Dirty Money	Antibalas
19287	MP3	French Exit	The Antlers
14614	AIF	Every Night My Teeth Are Falling Out	The Antlers
15952	MP3	Rolled Together	The Antlers
5633	MP3	In the Attic	The Antlers
17660	MP3	I Don't Want Love	The Antlers
5549	WAV	Palace	The Antlers
18263	MP3	Kettering	The Antlers
1089	OGG	Sylvia	The Antlers
11703	WAV	Epilogue	The Antlers
13871	WAV	Beekeeper	Aoife O'Donovan
18808	MP3	Alberto Balsalm	Aphex Twin
12389	MP3	Windowlicker	Aphex Twin
6978	MP3	Fear of Heights	Apollo Sunshine
12289	MP3	Today Is the Day	Apollo Sunshine
16621	MP3	Singing To The Earth (To Thank Her For You)	Apollo Sunshine
10467	OGG	Sleep To Dream	Fiona Apple
14049	MP3	Criminal	Fiona Apple
18780	WAV	Shadowboxer	Fiona Apple
18347	AIF	Never Is A Promise	Fiona Apple
15362	WAV	Pale September	Fiona Apple
7523	MP3	Carrion	Fiona Apple
1511	WAV	I Want You (Live for Decades Rock Live!)	Fiona Apple
18287	MP3	Across the Universe	Fiona Apple
18590	MP3	Paper Bag	Fiona Apple
16033	MP3	Sullen Girl	Fiona Apple
15136	MP3	A Mistake	Fiona Apple
6613	MP3	Get Gone	Fiona Apple
14165	WAV	Get Him Back	Fiona Apple
1487	OGG	Love Ridden	Fiona Apple
14118	MP3	Please Please Please	Fiona Apple
844	WAV	The Child Is Gone	Fiona Apple
16833	AIF	O' Sailor	Fiona Apple
10173	AIF	I Know	Fiona Apple
12853	AIF	The First Taste	Fiona Apple
12468	WAV	Window	Fiona Apple
4955	OGG	Energy	The Apples In Stereo
12523	MP3	Same Old Drag	The Apples In Stereo
13141	WAV	Tidal Wave	The Apples In Stereo
3288	MP3	Rainfall	The Apples In Stereo
4562	MP3	Tin Pan Alley	The Apples In Stereo
19003	WAV	Holiday Mood	The Apples In Stereo
9991	WAV	Barbie Girl	Aqua
12842	WAV	Cartoon Heroes	Aqua
17981	OGG	Time Moves Slow	Aqualung
10803	AIF	Brighter Than Sunshine	Aqualung
13680	MP3	False Spring	Arbouretum
6426	WAV	Mohammed's Hex and Bounty	Arbouretum
10493	OGG	Neighborhood #1 (Tunnels)	Arcade Fire
2511	OGG	Rebellion (Lies)	Arcade Fire
2660	MP3	Haiti	Arcade Fire
10367	OGG	Sprawl II (Mountains Beyond Mountains)	Arcade Fire
2120	AIF	Keep the Car Running	Arcade Fire
